"Obs","male","xeduc","raceeth","marstat","pcincQ","ksaimeQ","year","_TYPE_","_PAGE_","_TABLE_","pctoti_Mean","pcssb_Mean","pcSSI_Mean","pcinci_Mean","pcdbinc_Mean","pcearn_Mean","pcimpr_Mean","pcNotModel_Mean","pcothinc_Mean","xssb_Mean","xsssb_Mean","xearn_Mean","xsern_Mean","pcNetTOTI_Mean","pcNetCensusIncome_Mean","pcfedtax_Mean","pcstatetax_Mean","pcFICAtax_Mean","pcHItax_Mean","pcMedicareSurtax_Mean","MedicareBPremium_Mean","MedicareDPremium_Mean","PCCENSUSINCOME_Mean","pcdeltaIRA_Mean","pcint_Mean","pcdiv_Mean","pcrentinc_Mean","hpctoti_Mean","hpcssb_Mean","hpcSSI_Mean","hpcinci_Mean","hpcdbinc_Mean","hpcearn_Mean","hpcimpr_Mean","hpcNotModel_Mean","hpcothinc_Mean","hxssb_Mean","hxsssb_Mean","hxearn_Mean","hxsern_Mean","hpcNetTOTI_Mean","hpcNetCENSUSincome_Mean","hpcfedtax_Mean","hpcstatetax_Mean","hpcFICAtax_Mean","hpcHItax_Mean","hpcMedicareSurtax_Mean","hMedicareBpremium_Mean","hMedicareDpremium_Mean","hpcCensusIncome_Mean","hpcdeltaIRA_Mean","hpcint_Mean","hpcdiv_Mean","hpcrentinc_Mean"
"26",".",".",".","Married",".",".",2025,0001001,2,2,89550.75,17811.62,82.869,34886.67,7415.95,22408.15,5736.37,1209.12,3979.39,13469.19,11903.07,14544.45,17875.62,79241.56,48073.58,5721.19,1065.38,911.13,228.18,81.07,1779.26,522.98,58382.78,4521.65,1452.27,2400.45,1080.69,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"27",".",".",".","Married",".",".",2035,0001001,2,2,87419.37,15489.58,91.987,36132.31,5222.38,23171.59,6111.38,1200.14,4699.08,11717.67,10351.25,15656.59,18070.59,75985.38,45220.51,6121.44,1090.37,935.90,241.26,120.65,2258.43,665.93,56654.50,6230.78,1491.42,2578.85,1177.77,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"28",".",".",".","Married",".",".",2045,0001001,2,2,93863.54,17214.60,71.536,37590.89,4059.63,26895.72,6668.76,1362.40,5644.58,13017.24,11511.72,17902.43,21236.30,79456.23,49231.21,7774.69,1325.48,1060.93,281.93,207.47,2900.55,856.25,63638.52,8112.14,1658.84,2950.80,1312.85,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"29",".",".",".","Married",".",".",2055,0001001,2,2,102108.11,18832.80,50.509,38098.15,3663.44,32347.73,7478.69,1636.79,6317.05,14269.63,12593.22,21605.58,25433.72,83749.76,54776.65,10021.17,1579.06,1276.27,347.57,329.20,3712.87,1092.21,73135.00,9455.77,2022.45,3544.57,1580.95,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"30",".",".",".","Married",".",".",2065,0001001,2,2,108997.18,20988.91,38.919,39722.84,3652.02,34590.01,8190.04,1814.45,7053.92,15840.12,14070.42,23271.23,26979.31,88376.95,59123.44,10881.31,1593.98,1413.06,371.54,408.10,4597.13,1355.12,79743.67,11114.81,2185.91,3686.11,1672.54,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"31",".",".",".","Widowed",".",".",2015,0001001,3,2,55320.70,15313.35,222.788,22852.63,5719.67,5225.98,5252.10,734.20,10793.59,14995.36,452.86,5273.54,0.00,50262.75,28767.35,2311.99,465.09,268.52,66.88,24.43,1507.28,413.77,33825.31,3026.02,919.61,1784.26,879.44,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"32",".",".",".","Widowed",".",".",2025,0001001,3,2,68778.44,17740.10,165.961,31172.35,5540.76,6558.03,6828.91,772.32,13744.70,17316.63,494.68,6575.90,0.00,62030.92,34015.85,3195.15,571.66,363.25,88.32,45.52,1902.61,581.01,40763.38,5276.56,1263.23,2592.82,853.59,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"33",".",".",".","Widowed",".",".",2035,0001001,3,2,69867.09,15106.02,109.943,34438.36,4761.71,6690.73,7900.48,859.85,14788.89,14662.15,477.39,6722.46,0.00,61874.48,32565.87,3695.76,584.58,380.29,92.14,69.48,2425.07,745.28,40558.48,8000.97,1256.18,2769.45,1003.64,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"34",".",".",".","Widowed",".",".",2045,0001001,3,2,73758.09,16706.52,103.272,37483.92,3276.40,6940.46,8438.58,808.95,16123.84,16188.64,561.60,6996.83,0.00,63993.18,33928.71,4412.61,702.61,387.03,97.48,127.33,3105.70,932.15,43693.62,10227.39,1587.49,3054.05,989.09,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"35",".",".",".","Widowed",".",".",2055,0001001,3,2,73063.13,18071.02,93.313,35027.56,2566.40,7352.79,8987.55,964.49,18669.67,17539.20,576.49,7396.69,0.00,61851.44,35628.41,4743.42,660.52,420.13,102.73,172.62,3929.53,1182.74,46840.10,11721.94,1534.39,3232.69,1303.06,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"36",".",".",".","Widowed",".",".",2065,0001001,3,2,78957.48,19875.83,67.688,36482.99,2585.49,8324.14,10630.86,990.48,19883.06,19330.79,609.43,8367.96,0.00,64868.89,39206.23,6038.79,808.07,482.18,118.00,258.70,4916.90,1465.93,53294.81,13981.03,2386.01,3558.50,1525.65,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"37",".",".",".","Divorced",".",".",2015,0001001,4,2,57896.65,11854.61,281.233,23228.76,5780.11,12123.83,3755.69,872.42,8837.20,11914.43,0.00,12150.52,0.00,51609.57,29498.67,2930.73,637.27,656.55,158.75,19.36,1484.73,399.69,35785.74,1485.00,924.44,2046.17,417.94,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"38",".",".",".","Divorced",".",".",2025,0001001,4,2,58716.95,13967.71,223.712,21958.09,4836.82,12476.96,4267.55,986.11,9517.26,13995.94,0.00,12508.74,0.00,51580.24,31560.80,3197.95,586.76,696.09,170.09,33.15,1891.49,561.19,38697.51,2693.63,953.56,1971.78,587.23,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"39",".",".",".","Divorced",".",".",2035,0001001,4,2,61657.37,12044.31,196.808,25433.68,3873.65,14240.51,4958.61,909.81,11198.28,12057.31,0.00,14256.85,0.00,52250.38,31214.42,4405.68,786.92,792.17,198.27,107.36,2404.26,712.33,40621.42,4023.01,1377.77,2863.55,1092.00,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"40",".",".",".","Divorced",".",".",2045,0001001,4,2,71746.91,13606.43,170.640,32294.69,2860.56,15411.10,6263.37,1140.13,13188.90,13619.95,0.00,15440.16,0.00,60865.52,33777.69,4782.59,792.49,887.64,219.38,141.76,3131.99,925.55,44659.09,5473.91,1630.67,3311.71,1053.94,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"41",".",".",".","Divorced",".",".",2055,0001001,4,2,82242.10,15121.45,112.491,36373.27,2432.60,19331.12,7644.56,1226.59,14553.71,15144.82,0.00,19426.31,0.00,67304.26,37717.49,7267.12,1004.61,1011.92,276.35,284.26,3932.72,1160.85,52655.32,6350.42,2080.44,4258.45,1741.75,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"42",".",".",".","Divorced",".",".",2065,0001001,4,2,82351.85,16614.27,104.892,34821.49,2235.38,18891.74,8234.04,1450.04,16111.79,16636.73,0.00,18945.17,0.00,66158.22,38429.03,7219.96,963.27,1064.65,270.37,307.95,4913.97,1453.47,54622.65,7538.24,2040.98,4276.78,1470.33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"43",".",".",".","Single",".",".",2015,0001001,5,2,48457.48,10003.47,621.316,16327.64,6343.26,11569.44,2904.24,688.12,7210.66,10048.11,0.00,11604.73,0.00,42191.80,27177.86,2908.84,681.57,574.62,142.57,31.47,1521.09,405.52,33443.54,1051.58,855.75,1889.38,421.23,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"44",".",".",".","Single",".",".",2025,0001001,5,2,54530.34,12115.54,430.924,18405.42,4254.69,15414.18,3061.19,848.41,9182.70,12148.65,0.00,15455.53,0.00,46319.56,30704.09,3934.80,754.27,838.77,210.62,59.43,1866.42,546.48,38914.88,2205.41,950.61,2008.70,686.43,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"45",".",".",".","Single",".",".",2035,0001001,5,2,59499.18,10948.21,361.487,24631.41,3324.98,15236.23,4050.68,946.18,10104.07,10967.05,0.00,15255.83,0.00,49942.38,30016.23,4509.91,825.52,782.76,209.11,101.76,2420.37,707.37,39573.03,3884.23,1207.60,2679.78,984.32,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"46",".",".",".","Single",".",".",2045,0001001,5,2,63492.94,12144.19,263.127,29524.82,2878.78,13174.97,4503.11,1003.94,11314.75,12163.27,0.00,13186.32,0.00,53029.62,30361.56,4659.71,794.48,694.62,177.20,144.52,3089.47,903.32,40824.88,5476.61,1423.54,3309.08,1150.63,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"47",".",".",".","Single",".",".",2055,0001001,5,2,70940.94,12959.54,212.304,32492.91,2144.64,16810.74,5213.07,1107.74,12983.63,12977.17,0.00,16869.70,0.00,57286.72,33106.58,6250.77,1091.12,833.69,215.12,261.36,3862.37,1139.79,46760.81,5981.68,2625.98,3793.70,1124.48,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"48",".",".",".","Single",".",".",2065,0001001,5,2,75906.80,14524.51,168.753,34023.76,2465.71,17211.56,6423.43,1089.08,14370.70,14540.63,0.00,17261.11,0.00,60520.08,34836.11,6629.73,1041.07,905.03,233.54,292.45,4852.92,1431.97,50222.82,7189.56,1896.13,4197.69,1479.84,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"49",".",".",".",".",".",".",2015,0000001,1,3,72327.80,14592.28,186.066,27018.77,7886.82,16753.40,4934.83,955.63,5883.93,12471.38,5990.30,12614.71,9989.32,64087.93,38582.99,4561.84,949.53,650.38,178.65,53.90,1453.70,391.86,46822.86,2337.43,1143.20,2142.01,826.03,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"50",".",".",".",".",".",".",2025,0000001,1,3,78067.84,16739.45,150.183,30861.37,6408.08,17352.17,5494.95,1061.63,7094.12,14157.07,6970.65,12821.04,10326.55,69074.94,41490.46,4722.10,875.61,769.80,191.73,65.59,1826.50,541.56,50483.35,4197.98,1300.47,2341.25,932.13,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"51",".",".",".",".",".",".",2035,0000001,1,3,77266.77,14424.57,140.933,33029.22,4730.35,17807.29,6069.68,1064.73,8184.69,12255.59,5817.20,13663.00,9991.15,67000.22,39084.91,5226.62,919.34,789.40,202.40,106.60,2329.61,692.59,49351.46,6011.11,1396.82,2666.19,1109.47,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"52",".",".",".",".",".",".",2045,0000001,1,3,82654.48,15929.61,117.831,35745.53,3579.85,19442.90,6667.54,1171.22,9535.77,13614.68,6187.64,14714.32,11205.35,70197.41,41478.60,6269.22,1055.85,850.60,221.78,173.91,2998.54,887.17,53935.67,7826.79,1607.48,3068.84,1191.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"53",".",".",".",".",".",".",2055,0000001,1,3,89224.24,17279.37,92.375,36406.48,3062.04,23598.68,7409.31,1375.98,10698.47,14771.25,6773.00,17941.53,13463.88,73372.93,45612.04,8093.43,1259.21,1013.53,272.01,283.70,3804.31,1125.13,61463.36,8926.72,2037.61,3615.42,1475.16,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"54",".",".",".",".",".",".",2065,0000001,1,3,94723.14,19148.72,74.462,37573.95,3088.10,25016.64,8323.60,1497.67,11688.24,16331.27,7556.81,19048.14,14280.68,76704.01,48894.84,8843.56,1282.92,1116.97,290.22,349.44,4736.12,1399.89,66913.97,10523.52,2154.15,3821.77,1588.93,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"55",".",".","1.White",".",".",".",2015,0010001,2,3,82671.41,16006.50,66.193,32442.99,8687.31,18817.59,5687.56,963.26,4434.14,13604.42,6677.66,14346.50,11056.74,73277.65,42714.52,5401.49,1125.56,726.55,203.85,67.42,1472.95,395.94,52108.28,2765.41,1332.44,2533.44,936.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"56",".",".","1.White",".",".",".",2025,0010001,2,3,90241.74,18538.11,51.622,37716.45,7211.50,19216.73,6453.27,1054.06,5011.03,15617.16,7800.67,14478.92,11112.70,80060.91,46351.29,5558.65,1039.71,874.87,218.36,80.29,1858.55,550.41,56532.13,4933.85,1567.76,2841.75,1116.75,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"57",".",".","1.White",".",".",".",2035,0010001,2,3,90405.77,16065.76,53.931,41220.49,5425.20,19416.64,7150.50,1073.25,5608.54,13673.77,6457.03,15282.25,10487.98,78763.56,43809.85,6211.11,1101.86,880.47,228.40,132.24,2379.72,708.41,55452.06,7157.71,1675.86,3268.14,1315.58,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"58",".",".","1.White",".",".",".",2045,0010001,2,3,98195.60,17797.82,46.940,45884.96,4160.26,21206.91,7967.88,1130.83,6501.34,15247.39,6877.79,16325.88,11979.47,83964.04,46918.97,7515.44,1286.32,967.79,251.71,217.05,3081.26,911.98,61150.52,9483.91,2013.11,3867.31,1443.43,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"59",".",".","1.White",".",".",".",2055,0010001,2,3,105677.89,19270.76,38.803,46271.74,3560.03,26319.91,8830.54,1386.10,7407.07,16527.00,7530.16,20653.17,14619.07,87789.99,52177.86,9418.30,1528.96,1181.35,315.16,349.36,3932.57,1162.21,70065.77,10720.01,2574.06,4461.16,1734.93,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"60",".",".","1.White",".",".",".",2065,0010001,2,3,112017.22,21328.80,28.031,47428.93,3642.38,28133.12,9976.37,1479.59,7946.96,18276.32,8389.27,21527.51,16072.35,91609.34,55965.16,10441.49,1558.94,1294.53,336.62,429.46,4902.65,1444.19,76373.04,12473.32,2667.25,4749.51,1871.04,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
